"BBL_SPECIES_ID","BBL_SPECIES_NAME","BBL_SCI_NAME","EBIRD_SPECIES_CODE","EBIRD_PRIMARY_COM_NAME","EBIRD_SCI_NAME","EBIRD_CATEGORY","EBIRDST_CODE"
1969,"Pacific Reef Heron","Egretta sacra","pacreh1","Pacific Reef-Heron","Egretta sacra","species",NA
1970,"Snowy Egret","Egretta thula","snoegr","Snowy Egret","Egretta thula","species","snoegr"
2000,"Little Blue Heron","Egretta caerulea","libher","Little Blue Heron","Egretta caerulea","species","libher"
1990,"Tricolored Heron","Egretta tricolor","triher","Tricolored Heron","Egretta tricolor","species","triher"
1980,"Reddish Egret","Egretta rufescens","redegr","Reddish Egret","Egretta rufescens","species","redegr"
2001,"Cattle Egret","Bubulcus ibis","categr","Cattle Egret","Bubulcus ibis","species","categr"
2010,"Green Heron","Butorides virescens","grnher","Green Heron","Butorides virescens","species","grnher"
2020,"Black-crowned Night-Heron","Nycticorax nycticorax","bcnher","Black-crowned Night-Heron","Nycticorax nycticorax","species","bcnher"
2030,"Yellow-crowned Night-Heron","Nyctanassa violacea","ycnher","Yellow-crowned Night-Heron","Nyctanassa violacea","species","ycnher"
1840,"White Ibis","Eudocimus albus","whiibi","White Ibis","Eudocimus albus","species","whiibi"
1850,"Scarlet Ibis","Eudocimus ruber","scaibi","Scarlet Ibis","Eudocimus ruber","species",NA
1860,"Glossy Ibis","Plegadis falcinellus","gloibi","Glossy Ibis","Plegadis falcinellus","species","gloibi"
1870,"White-faced Ibis","Plegadis chihi","whfibi","White-faced Ibis","Plegadis chihi","species","whfibi"
1830,"Roseate Spoonbill","Platalea ajaja","rosspo1","Roseate Spoonbill","Platalea ajaja","species","rosspo1"
3260,"Black Vulture","Coragyps atratus","blkvul","Black Vulture","Coragyps atratus","species","blkvul"
3250,"Turkey Vulture","Cathartes aura","turvul","Turkey Vulture","Cathartes aura","species","turvul"
3640,"Osprey","Pandion haliaetus","osprey","Osprey","Pandion haliaetus","species","osprey"
3280,"White-tailed Kite","Elanus leucurus","whtkit","White-tailed Kite","Elanus leucurus","species","whtkit"
3271,"Hook-billed Kite","Chondrohierax uncinatus","hobkit","Hook-billed Kite","Chondrohierax uncinatus","species","hobkit"
3270,"Swallow-tailed Kite","Elanoides forficatus","swtkit","Swallow-tailed Kite","Elanoides forficatus","species","swtkit"
3490,"Golden Eagle","Aquila chrysaetos","goleag","Golden Eagle","Aquila chrysaetos","species","goleag"
3310,"Northern Harrier","Circus hudsonius","norhar2","Northern Harrier","Circus hudsonius","species","norhar2"
3320,"Sharp-shinned Hawk","Accipiter striatus","shshaw","Sharp-shinned Hawk","Accipiter striatus","species","shshaw"
3321,"Puerto Rican Sharp-shinned Hawk","Accipiter striatus venator","shshaw","Sharp-shinned Hawk","Accipiter striatus","species","shshaw"
3330,"Cooper's Hawk","Accipiter cooperii","coohaw","Cooper's Hawk","Accipiter cooperii","species","coohaw"
3340,"Northern Goshawk","Accipiter gentilis","norgos","Northern Goshawk","Accipiter gentilis","species","norgos"
3520,"Bald Eagle","Haliaeetus leucocephalus","baleag","Bald Eagle","Haliaeetus leucocephalus","species","baleag"
3290,"Mississippi Kite","Ictinia mississippiensis","miskit","Mississippi Kite","Ictinia mississippiensis","species","miskit"
3300,"Snail Kite","Rostrhamus sociabilis","snakit","Snail Kite","Rostrhamus sociabilis","species","snakit"
3450,"Common Black Hawk","Buteogallus anthracinus","comblh1","Common Black Hawk","Buteogallus anthracinus","species","comblh1"
3431,"Roadside Hawk","Rupornis magnirostris","roahaw","Roadside Hawk","Rupornis magnirostris","species","roahaw"
3350,"Harris's Hawk","Parabuteo unicinctus","hrshaw","Harris's Hawk","Parabuteo unicinctus","species","hrshaw"
3410,"White-tailed Hawk","Geranoaetus albicaudatus","whthaw","White-tailed Hawk","Geranoaetus albicaudatus","species","whthaw"
3460,"Gray Hawk","Buteo plagiatus","gryhaw2","Gray Hawk","Buteo plagiatus","species","gryhaw2"
3390,"Red-shouldered Hawk","Buteo lineatus","reshaw","Red-shouldered Hawk","Buteo lineatus","species","reshaw"
3430,"Broad-winged Hawk","Buteo platypterus","brwhaw","Broad-winged Hawk","Buteo platypterus","species","brwhaw"
3432,"Puerto Rican Broad-winged Hawk","Buteo platypterus brunnescens","brwhaw","Broad-winged Hawk","Buteo platypterus","species","brwhaw"
3441,"Hawaiian Hawk","Buteo solitarius","hawhaw","Hawaiian Hawk","Buteo solitarius","species",NA
3440,"Short-tailed Hawk","Buteo brachyurus","shthaw","Short-tailed Hawk","Buteo brachyurus","species","shthaw"
3420,"Swainson's Hawk","Buteo swainsoni","swahaw","Swainson's Hawk","Buteo swainsoni","species","swahaw"
3400,"Zone-tailed Hawk","Buteo albonotatus","zothaw","Zone-tailed Hawk","Buteo albonotatus","species","zothaw"
3370,"Red-tailed Hawk","Buteo jamaicensis","rethaw","Red-tailed Hawk","Buteo jamaicensis","species","rethaw"
3380,"Harlan's Hawk","Buteo jamaicensis harlani","rethaw","Red-tailed Hawk","Buteo jamaicensis","species","rethaw"
3470,"Rough-legged Hawk","Buteo lagopus","rolhaw","Rough-legged Hawk","Buteo lagopus","species","rolhaw"
3480,"Ferruginous Hawk","Buteo regalis","ferhaw","Ferruginous Hawk","Buteo regalis","species","ferhaw"
3650,"Barn Owl","Tyto alba","brnowl","Barn Owl","Tyto alba","species","brnowl"
3740,"Flammulated Owl","Psiloscops flammeolus","flaowl","Flammulated Owl","Psiloscops flammeolus","species","flaowl"
3734,"Puerto Rican Owl","Gymnasio nudipes","prsowl","Puerto Rican Owl","Gymnasio nudipes","species",NA
3731,"Whiskered Screech-Owl","Megascops trichopsis","whsowl1","Whiskered Screech-Owl","Megascops trichopsis","species","whsowl1"
3732,"Western Screech-Owl","Megascops kennicottii","wesowl1","Western Screech-Owl","Megascops kennicottii","species","wesowl1"
3730,"Eastern Screech-Owl","Megascops asio","easowl1","Eastern Screech-Owl","Megascops asio","species","easowl1"
3750,"Great Horned Owl","Bubo virginianus","grhowl","Great Horned Owl","Bubo virginianus","species","grhowl"
3760,"Snowy Owl","Bubo scandiacus","snoowl1","Snowy Owl","Bubo scandiacus","species","snoowl1"
